9.7  0.13546  0.00924   0.02469  0.00065 0.00860     0.00038
9.9  0.2049   0.00750  	0.03495  0.00081 0.00942     0.00043
10.1 0.3113   0.00560  	0.05277  0.00107 0.01059     0.00049
10.3 0.40212  0.004611 	0.08475  0.00143 0.01750     0.00067
10.5 0.55234  0.00507  	0.14278  0.00200 0.03948     0.00111
10.7 0.70786  0.00544  	0.24959  0.00287 0.10681     0.00204
10.9 0.85423  0.00569  	0.41657  0.00414 0.24190     0.00359
11.1 0.94826  0.00569  	0.61656  0.00571 0.42567     0.00580
11.3 0.97694  0.00847  	0.78411  0.00821 0.60255     0.00977
11.5 0.94871  0.04018  	0.91038  0.01295 0.76782     0.01902
11.7 1.0      0.14085  	0.97368	 0.03403 0.86842105  0.05576
