z_low,z_hi,fontana_comp_m,fontana_comp_dndlogm,muzzin_m,muzzin_dndlogm,santini_m,santini_dndlogm,march_m,march_dndlogm,san_fr_lee_m,san_fr_lee_dndlogm,caputi_m,caputi_dndlogm,fontana_inc_m,fontana_inc_dndlogm,li_m,li_dndlogm,perez_m,perez_dndlogm,cole_m,cole_dndlogm,baldry_comp_m,baldry_comp_dndlogm,baldry_inc_m,baldry_inc_dndlogm,drory_m,drory_dndlogm,duncan_comp_m,duncan_comp_dndlogm,duncan_inc_m,duncan_inc_dndlogm,lee_m,lee_dndlogm,mous_m,mous_dndlogm
0.001,0.5,,,,,,,,,,,,,,,8.5607334629,-1.7912360265,,,,,,,,,,,,,,,,,,
0.001,0.5,,,,,,,,,,,,,,,8.459069956,-1.763881563,,,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.195819582,-1.6873826037,,,,,,,11.495058695,-3.8857657773,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.3922992299,-1.6797076743,,,,,,,11.2517265188,-3.1584337726,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.5908690869,-1.8252784457,,,,,,,11.0020528447,-2.7774751098,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.7852585259,-1.795714714,,,,,,,10.7550440373,-2.4690082074,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,8.9900990099,-1.9047854158,,,,,,,10.5021194471,-2.3001688632,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,9.1907590759,-1.990146928,,,,,,,10.2602192221,-2.2440858888,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,9.399779978,-1.9514330909,,,,,,,10.004231694,-2.196075517,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,9.5878987899,-2.0459406944,,,,,,,9.7568303439,-2.0782443373,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,9.7927392739,-2.1404161853,,,,,,,9.5093294761,-2.0087433408,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,9.9933993399,-2.1254356222,,,,,,,9.2619225972,-1.8935971713,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,10.1898789879,-2.2162783667,,,,,,,9.0146097075,-1.7328058288,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,10.3926292629,-2.2651478375,,,,,,,8.7616243009,-1.5935015965,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,10.6058305831,-2.3358900542,,,,,,,8.5114253938,-1.4676189007,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,10.7939493949,-2.4997249098,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,10.998789879,-2.6033224075,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,11.201540154,-2.8127391987,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,11.398019802,-2.9601383856,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,11.5903190319,-3.4614794661,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,11.796593674,-3.3244291153,,,,,,,,,,,,,,,,
0.2,0.4,,,,,,,,,,,,,,,,,11.9916348183,-4.890871296,,,,,,,,,,,,,,,,
0.2,0.5,,,11.996803531,-4.6915839174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.8903481322,-5.0011460687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.7955772617,-4.5149090362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.6961962704,-4.2118337296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.5989313514,-4.2182303486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.4996991697,-3.5993654446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.3980666894,-3.2741867458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.3009014728,-3.0690043347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.2013835767,-3.0564554576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,11.0997064535,-2.826013638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.9934564119,-2.699786145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.8984980414,-2.6114440051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.8012643724,-2.5515248087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.7017836786,-2.4600285323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.6045574501,-2.384319856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.5050380659,-2.3749288749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.4055335626,-2.333958934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.3082626912,-2.352987137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.2087566999,-2.3151750921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.1092343395,-2.3120999029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,10.0052045368,-2.2742916174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.9147640252,-2.1985773021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.8107133892,-2.2049795602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.7111865645,-2.211378059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.6094231318,-2.1640942059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.5121894628,-2.1041750095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.4126700786,-2.0947840283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.3176983152,-2.0348629522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.2114155355,-1.9781091706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.1141803784,-1.9213478702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,9.0191967102,-1.8866899619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.9219511364,-1.8520339333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.8224391927,-1.8268534723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.7206936171,-1.7416748675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.6234510195,-1.700703047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.5239301472,-1.6944699618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.5,,,8.4221949883,-1.5871860852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.6,11.3356126861,-3.2983459434,,,,,,,,,,,11.3356126861,-3.2983459434,,,11.8000485604,-3.8850285851,,,,,,,11.4864593186,-4.0114276172,,,,,,,,
0.4,0.6,11.1336411332,-2.7290727658,,,,,,,,,,,11.1336411332,-2.7290727658,,,11.5942603713,-3.3813029402,,,,,,,11.2404074885,-3.4153799506,,,,,,,,
0.4,0.6,10.938269401,-2.9282846644,,,,,,,,,,,10.938269401,-2.9282846644,,,11.3929237803,-3.3414729762,,,,,,,10.9915359314,-2.9187298444,,,,,,,,
0.4,0.6,10.7331751177,-2.5323231457,,,,,,,,,,,10.7331751177,-2.5323231457,,,11.1975442842,-2.8868561826,,,,,,,10.7399575142,-2.6816118337,,,,,,,,
0.4,0.6,10.5345559537,-2.5124331921,,,,,,,,,,,10.5345559537,-2.5124331921,,,10.9898140515,-2.5887037446,,,,,,,10.4942092573,-2.516270848,,,,,,,,
0.4,0.6,10.337490361,-2.3813615646,,,,,,,,,,,10.3374924393,-2.3879017898,,,10.7904678783,-2.4178883614,,,,,,,10.2398656006,-2.4558567251,,,,,,,,
0.4,0.6,10.1341522888,-2.5118903276,,,,,,,,,,,10.1341522888,-2.5118903276,,,10.5828579909,-2.3052957853,,,,,,,9.9970869111,-2.4037105792,,,,,,,,
0.4,0.6,9.9354697349,-2.2925235058,,,,,,,,,,,9.9354634998,-2.2729028303,,,10.3835731702,-2.2290795475,,,,,,,9.7456038471,-2.3018786414,,,,,,,,
0.4,0.6,9.7384706496,-2.3707390842,,,,,,,,,,,9.7384592186,-2.3347678457,,,10.1884626813,-2.189243622,,,,,,,9.4998731039,-2.161386118,,,,,,,,
0.4,0.6,9.5334335211,-2.1546337582,,,,,,,,,,,9.5334335211,-2.1546337582,,,9.9808952688,-2.142142762,,,,,,,9.2454574459,-1.9988172054,,,,,,,,
0.4,0.6,9.3348424149,-2.2230368446,,,,,,,,,,,9.3348444932,-2.2295770697,,,9.7899331549,-2.0986644336,,,,,,,8.9968194066,-1.8334799306,,,,,,,,
0.4,0.6,9.1361286856,-1.905566645,,,,,,,,,,,9.137717589,-1.9055687992,,,9.5865188369,-2.055198028,,,,,,,,,,,,,,,,
0.4,0.6,8.9342901476,-1.7548678793,,,,,,,,,,,8.9343192445,-1.8464310319,,,9.395556723,-2.0117196997,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,8.7356730619,-1.7415181508,,,9.1921565632,-1.9900838661,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,8.5386178609,-1.6431476492,,,8.9969847218,-1.8556487953,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,8.3352673187,-1.7344350611,,,8.7936789505,-1.9795501083,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,8.1366294494,-1.6556830809,,,11.9999783023,-4.9538289547,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,7.9380071678,-1.6259827895,,,,,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,7.7346846833,-1.8055632413,,,,,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,7.5343789331,-1.4782805498,,,,,,,,,,,,,,,,,,,,
0.4,0.6,,,,,,,,,,,,,7.337311262,-1.3406686971,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.7002873025,-4.598068255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.6026105403,-4.199356085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.5050165297,-3.9799098519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.4096125809,-3.7048293625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.3097828523,-3.4421120412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.2099730982,-3.2226658081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.1123847946,-3.0155827431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,11.0192764873,-2.9135866066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.9194924148,-2.7497746297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.8219440601,-2.6292337411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.7266271432,-2.5426915647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.6268972871,-2.4963296845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.5294102827,-2.5086928525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.4318761956,-2.4190598841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.3321591803,-2.400515132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.2346536282,-2.3726980039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.1371823181,-2.4190598841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,10.0418739616,-2.3510624598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.9421455323,-2.3077913715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.8446342732,-2.2676110753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.7449086974,-2.2305215712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.6518603136,-2.2583386993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.5499090071,-2.199613651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.4546077844,-2.1470701867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.3548879156,-2.1223438506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.2574051915,-2.1439793947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.1598853719,-2.0852543464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,9.0623841,-2.0667095943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1,,,8.9648956689,-2.0759819704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.8,11.9984689778,-3.9483217597,,,,,,,,,,,11.9984689778,-3.9483217597,,,11.8032645738,-4.0380100615,,,,,,,11.7402723735,-4.6706850983,,,,,,,,
